SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PLAYER
2019-20,22.0,DET,NBA,PG,10.0,0.0,53.0,4.6,18.6,0.25,1.9,9.3,0.2,2.8,9.3,0.3,0.0,0.0,0.0,0.0,3.7,3.7,7.4,0.9,0.0,1.9,5.6,11.1,76.0,117.0,Jordan Bone
2020-21,23.0,ORL,NBA,PG,14.0,0.0,196.0,5.7,13.4,0.426,2.5,7.9,0.313,3.2,5.5,0.591,0.0,0.0,0.0,1.0,5.0,6.0,4.5,0.5,0.0,0.7,2.7,13.9,113.0,119.0,Jordan Bone
2018-19,22.0,DET,NBA,SG,74.0,56.0,1449.0,4.3,10.7,0.398,0.8,3.2,0.258,3.4,7.5,0.457,1.5,2.0,0.75,1.6,4.7,6.3,3.1,1.4,1.2,1.6,6.1,10.9,100.0,110.0,Bruce Brown
2019-20,23.0,DET,NBA,PG,58.0,43.0,1634.0,6.0,13.5,0.443,1.0,2.9,0.344,5.0,10.6,0.47,2.6,3.6,0.739,1.8,6.4,8.2,6.9,1.9,0.9,3.0,4.9,15.6,106.0,112.0,Bruce Brown
2020-21,24.0,BRK,NBA,PG,65.0,37.0,1451.0,7.8,14.1,0.556,0.6,2.0,0.288,7.2,12.1,0.599,2.9,3.9,0.735,3.7,7.9,11.6,3.5,1.9,0.9,1.8,4.8,19.0,124.0,112.0,Bruce Brown
2021-22,25.0,BRK,NBA,SF,72.0,45.0,1774.0,7.0,13.8,0.506,1.0,2.6,0.404,6.0,11.3,0.529,2.7,3.5,0.758,2.7,6.7,9.4,4.0,2.1,1.4,1.5,4.8,17.7,121.0,111.0,Bruce Brown
2022-23,26.0,DEN,NBA,SF,80.0,31.0,2280.0,7.7,15.9,0.483,2.0,5.4,0.358,5.7,10.4,0.548,2.5,3.3,0.758,1.4,5.7,7.0,5.7,1.9,1.1,2.6,4.1,19.8,113.0,114.0,Bruce Brown
2019-20,19.0,DET,NBA,PF,38.0,19.0,754.0,6.0,15.4,0.39,1.8,6.4,0.286,4.2,9.0,0.464,2.0,3.0,0.674,1.3,6.4,7.7,1.2,1.3,0.5,2.3,5.2,15.9,90.0,114.0,Sekou Doumbouya
2020-21,20.0,DET,NBA,PF,56.0,11.0,869.0,6.0,15.9,0.379,1.5,6.5,0.226,4.6,9.4,0.485,2.5,3.6,0.703,2.2,5.9,8.1,2.7,1.4,0.5,2.5,5.3,16.1,93.0,114.0,Sekou Doumbouya
2021-22,21.0,LAL,NBA,PF,2.0,0.0,16.0,15.0,24.0,0.625,3.0,6.0,0.5,12.0,18.0,0.667,9.0,12.0,0.75,6.0,12.0,18.0,0.0,9.0,6.0,6.0,3.0,41.9,117.0,87.0,Sekou Doumbouya
2012-13,19.0,DET,NBA,C,60.0,10.0,1243.0,8.8,14.5,0.608,0.0,0.1,0.5,8.8,14.5,0.609,2.5,6.8,0.371,7.2,12.2,19.4,1.3,2.5,4.0,2.4,6.1,20.2,114.0,99.0,Andre Drummond
2013-14,20.0,DET,NBA,C,81.0,81.0,2619.0,9.2,14.8,0.623,0.0,0.0,0.0,9.2,14.8,0.625,2.6,6.3,0.418,8.5,12.2,20.7,0.7,2.0,2.5,2.1,5.3,21.1,121.0,104.0,Andre Drummond
2014-15,21.0,DET,NBA,C,82.0,82.0,2502.0,10.2,19.9,0.514,0.0,0.0,0.0,10.2,19.8,0.515,2.9,7.5,0.389,9.0,13.8,22.8,1.1,1.5,3.2,2.5,5.9,23.4,107.0,100.0,Andre Drummond
2015-16,22.0,DET,NBA,C,81.0,81.0,2666.0,10.5,20.1,0.521,0.0,0.1,0.333,10.4,20.0,0.522,3.9,11.1,0.355,7.5,15.2,22.7,1.3,2.3,2.1,2.9,4.6,24.9,103.0,98.0,Andre Drummond
2016-17,23.0,DET,NBA,C,81.0,81.0,2409.0,10.1,19.1,0.53,0.0,0.1,0.286,10.1,19.0,0.532,2.9,7.4,0.386,7.2,16.1,23.4,1.9,2.6,1.9,3.2,5.0,23.2,104.0,99.0,Andre Drummond
2017-18,24.0,DET,NBA,C,78.0,78.0,2625.0,8.9,16.7,0.529,0.0,0.2,0.0,8.9,16.5,0.536,4.5,7.5,0.605,7.6,16.1,23.7,4.5,2.2,2.4,3.8,4.8,22.3,113.0,99.0,Andre Drummond
2018-19,25.0,DET,NBA,C,79.0,79.0,2647.0,10.4,19.6,0.533,0.1,0.7,0.132,10.4,18.9,0.548,4.5,7.7,0.59,7.9,15.1,22.9,2.1,2.5,2.6,3.3,5.1,25.5,113.0,100.0,Andre Drummond
2019-20,26.0,TOT,NBA,C,57.0,56.0,1879.0,10.9,20.5,0.533,0.1,0.9,0.143,10.8,19.6,0.551,4.4,7.7,0.575,6.5,16.1,22.6,4.0,2.8,2.4,5.3,5.3,26.4,104.0,103.0,Andre Drummond
2019-20,26.0,DET,NBA,C,49.0,48.0,1654.0,10.7,20.2,0.53,0.0,0.6,0.048,10.7,19.6,0.546,4.4,7.6,0.584,6.7,16.3,23.0,4.1,2.9,2.4,5.2,5.2,25.9,104.0,102.0,Andre Drummond
2019-20,26.0,CLE,NBA,C,8.0,8.0,225.0,12.5,22.7,0.552,0.9,3.0,0.286,11.7,19.7,0.593,4.3,8.4,0.513,5.2,14.1,19.2,3.0,2.6,2.4,6.3,5.4,30.3,100.0,107.0,Andre Drummond
2020-21,27.0,TOT,NBA,C,46.0,46.0,1242.0,11.1,22.6,0.493,0.0,0.3,0.0,11.1,22.3,0.5,4.9,8.1,0.6,6.6,15.2,21.8,3.7,2.5,1.9,4.9,5.9,27.1,101.0,104.0,Andre Drummond
2020-21,27.0,CLE,NBA,C,25.0,25.0,722.0,12.3,26.0,0.474,0.0,0.5,0.0,12.3,25.4,0.484,5.3,8.8,0.597,6.9,16.1,23.0,4.4,2.7,2.0,5.5,4.7,29.9,97.0,105.0,Andre Drummond
2020-21,27.0,LAL,NBA,C,21.0,21.0,520.0,9.5,18.0,0.531,0.0,0.0,0.0,9.5,18.0,0.531,4.3,7.1,0.605,6.1,13.9,20.0,2.8,2.2,1.9,4.0,7.5,23.4,107.0,101.0,Andre Drummond
2021-22,28.0,TOT,NBA,C,73.0,36.0,1437.0,8.5,14.9,0.57,0.0,0.1,0.0,8.5,14.8,0.574,3.0,5.6,0.524,7.9,15.5,23.4,4.5,2.7,2.3,3.9,6.6,19.9,114.0,102.0,Andre Drummond
2021-22,28.0,PHI,NBA,C,49.0,12.0,902.0,7.1,13.2,0.538,0.0,0.1,0.0,7.1,13.0,0.542,2.3,4.5,0.512,7.5,16.4,23.9,5.4,3.1,2.5,4.4,6.7,16.5,110.0,100.0,Andre Drummond
2021-22,28.0,BRK,NBA,C,24.0,24.0,535.0,10.8,17.7,0.61,0.0,0.1,0.0,10.8,17.6,0.613,4.0,7.4,0.537,8.4,14.0,22.4,3.1,2.0,2.1,3.3,6.4,25.6,121.0,106.0,Andre Drummond
2022-23,29.0,CHI,NBA,C,67.0,0.0,849.0,9.5,15.7,0.606,0.0,0.2,0.0,9.5,15.5,0.613,3.8,7.2,0.536,7.9,17.6,25.5,1.9,2.6,1.5,4.3,6.7,22.9,113.0,103.0,Andre Drummond
2014-15,24.0,TOT,NBA,PG,11.0,3.0,239.0,4.4,12.9,0.344,1.1,3.6,0.294,3.4,9.3,0.364,2.1,4.4,0.476,1.3,4.6,5.9,12.6,1.7,0.0,5.3,5.5,12.0,88.0,108.0,Tim Frazier
2014-15,24.0,PHI,NBA,PG,6.0,3.0,171.0,3.8,12.6,0.302,0.9,3.2,0.273,2.9,9.4,0.313,1.5,4.4,0.333,1.2,4.4,5.6,12.6,1.8,0.0,5.3,4.7,10.0,79.0,108.0,Tim Frazier
2014-15,24.0,POR,NBA,PG,5.0,0.0,68.0,6.0,13.5,0.444,1.5,4.5,0.333,4.5,9.0,0.5,3.7,4.5,0.833,1.5,5.2,6.7,12.7,1.5,0.0,5.2,7.5,17.2,108.0,106.0,Tim Frazier
2015-16,25.0,TOT,NBA,PG,51.0,2.0,741.0,6.4,15.4,0.419,1.1,3.2,0.333,5.4,12.2,0.442,3.6,5.0,0.716,1.7,5.6,7.4,10.9,2.2,0.1,4.4,4.9,17.5,103.0,109.0,Tim Frazier
2015-16,25.0,POR,NBA,PG,35.0,1.0,272.0,3.7,11.0,0.333,0.6,3.1,0.176,3.1,7.9,0.395,1.5,2.8,0.533,2.0,5.1,7.2,7.7,1.8,0.2,5.0,5.7,9.4,81.0,109.0,Tim Frazier
2015-16,25.0,NOP,NBA,PG,16.0,1.0,469.0,8.0,17.9,0.45,1.4,3.3,0.419,6.7,14.6,0.457,4.8,6.2,0.763,1.6,5.9,7.5,12.7,2.4,0.1,4.0,4.4,22.2,111.0,109.0,Tim Frazier
2016-17,26.0,NOP,NBA,PG,65.0,35.0,1525.0,5.2,13.0,0.403,1.3,4.1,0.313,3.9,8.9,0.446,3.1,4.1,0.76,1.1,4.5,5.6,10.8,1.8,0.2,3.2,4.3,14.9,106.0,110.0,Tim Frazier
2017-18,27.0,WAS,NBA,PG,59.0,11.0,838.0,4.0,10.2,0.395,1.0,3.3,0.304,3.0,6.9,0.44,1.4,1.8,0.767,1.1,5.7,6.8,11.5,2.8,0.4,3.4,5.7,10.4,105.0,107.0,Tim Frazier
2018-19,28.0,TOT,NBA,PG,59.0,19.0,1120.0,4.8,10.8,0.444,1.5,4.2,0.366,3.3,6.6,0.494,1.7,2.2,0.759,1.7,5.3,7.0,10.3,1.2,0.2,3.2,4.6,12.9,114.0,114.0,Tim Frazier
2018-19,28.0,NOP,NBA,PG,47.0,17.0,909.0,4.5,10.0,0.451,1.4,3.9,0.351,3.1,6.0,0.517,1.6,2.1,0.78,1.6,5.4,7.0,10.5,1.3,0.2,3.1,4.8,12.0,115.0,115.0,Tim Frazier
2018-19,28.0,MIL,NBA,PG,12.0,2.0,211.0,6.2,14.5,0.424,2.2,5.3,0.417,4.0,9.3,0.429,2.0,2.9,0.692,2.0,4.8,6.8,9.3,1.1,0.2,3.5,4.2,16.5,109.0,109.0,Tim Frazier
2019-20,29.0,DET,NBA,PG,27.0,11.0,355.0,4.7,13.0,0.362,1.4,4.2,0.333,3.3,8.9,0.375,2.6,3.3,0.792,1.2,3.3,4.6,12.9,1.9,0.6,5.0,5.8,13.4,99.0,114.0,Tim Frazier
2020-21,30.0,MEM,NBA,PG,5.0,0.0,62.0,2.3,15.4,0.15,0.0,6.2,0.0,2.3,9.3,0.25,1.5,4.6,0.333,0.0,6.2,6.2,12.3,1.5,0.8,3.1,5.4,6.2,63.0,112.0,Tim Frazier
2021-22,31.0,TOT,NBA,PG,12.0,3.0,208.0,3.3,10.5,0.311,1.4,4.0,0.353,1.9,6.5,0.286,1.2,2.1,0.556,1.2,3.3,4.4,7.9,0.7,0.2,3.5,6.3,9.1,87.0,117.0,Tim Frazier
2021-22,31.0,ORL,NBA,PG,10.0,3.0,200.0,3.1,10.4,0.302,1.5,4.1,0.353,1.7,6.3,0.269,1.2,2.2,0.556,1.2,3.4,4.6,8.0,0.7,0.2,3.1,5.8,8.9,89.0,117.0,Tim Frazier
2021-22,31.0,CLE,NBA,PG,2.0,0.0,8.0,6.2,12.5,0.5,0.0,0.0,0.0,6.2,12.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0,12.5,18.7,12.5,57.0,118.0,Tim Frazier
2014-15,23.0,NYK,NBA,PG,45.0,41.0,1457.0,7.4,18.5,0.399,2.2,6.4,0.352,5.1,12.1,0.424,2.3,2.8,0.808,1.3,5.5,6.9,5.4,1.9,0.4,2.2,4.7,19.3,101.0,111.0,Langston Galloway
2015-16,24.0,NYK,NBA,PG,82.0,7.0,2033.0,5.8,14.9,0.393,1.9,5.7,0.344,3.9,9.2,0.423,2.2,2.9,0.754,1.1,6.2,7.3,5.2,1.9,0.6,1.5,4.5,15.8,105.0,108.0,Langston Galloway
2016-17,25.0,TOT,NBA,PG,74.0,2.0,1495.0,6.8,18.0,0.38,4.0,10.2,0.39,2.9,7.8,0.367,1.7,2.1,0.797,0.9,4.3,5.2,3.1,1.5,0.2,1.5,3.2,19.3,101.0,111.0,Langston Galloway
2016-17,25.0,NOP,NBA,PG,55.0,0.0,1120.0,7.2,19.3,0.374,4.4,11.7,0.377,2.8,7.6,0.37,1.7,2.3,0.769,0.9,4.4,5.3,2.8,1.7,0.2,1.2,3.3,20.6,102.0,110.0,Langston Galloway
2016-17,25.0,SAC,NBA,PG,19.0,2.0,375.0,5.7,14.0,0.404,2.6,5.4,0.475,3.1,8.6,0.359,1.5,1.6,0.917,0.9,3.8,4.7,3.8,0.8,0.1,2.4,2.7,15.4,100.0,116.0,Langston Galloway
2017-18,26.0,DET,NBA,SG,58.0,2.0,863.0,7.3,19.7,0.371,4.3,12.6,0.344,2.9,7.1,0.418,1.9,2.4,0.805,0.8,4.6,5.3,3.4,2.0,0.3,1.0,2.3,20.8,106.0,109.0,Langston Galloway
2018-19,27.0,DET,NBA,SG,80.0,4.0,1745.0,6.4,16.6,0.388,3.8,10.7,0.355,2.6,5.8,0.449,2.3,2.7,0.844,1.4,3.4,4.8,2.4,1.0,0.2,0.7,3.8,19.0,115.0,113.0,Langston Galloway
2019-20,28.0,DET,NBA,SG,66.0,6.0,1702.0,6.8,15.7,0.435,3.8,9.6,0.399,3.0,6.1,0.493,2.1,2.5,0.859,1.0,3.4,4.3,2.9,1.4,0.3,1.2,2.8,19.6,118.0,116.0,Langston Galloway
2020-21,29.0,PHO,NBA,SG,40.0,0.0,438.0,7.4,16.6,0.449,4.1,9.6,0.424,3.4,7.0,0.484,2.5,2.6,0.957,0.8,3.9,4.7,2.9,0.9,0.0,1.5,2.8,21.4,118.0,115.0,Langston Galloway
2021-22,30.0,TOT,NBA,SG,7.0,0.0,107.0,2.7,11.7,0.231,0.9,7.2,0.125,1.8,4.5,0.4,0.0,0.0,0.0,1.4,6.8,8.1,5.4,0.5,0.0,2.7,3.2,6.3,70.0,116.0,Langston Galloway
2021-22,30.0,BRK,NBA,SG,4.0,0.0,58.0,4.2,10.9,0.385,1.7,6.7,0.25,2.5,4.2,0.6,0.0,0.0,0.0,0.8,5.9,6.7,4.2,0.0,0.0,4.2,4.2,10.0,80.0,118.0,Langston Galloway
2021-22,30.0,MIL,NBA,SG,3.0,0.0,49.0,1.0,12.7,0.077,0.0,7.8,0.0,1.0,4.9,0.2,0.0,0.0,0.0,2.0,7.8,9.8,6.9,1.0,0.0,1.0,2.0,2.0,56.0,114.0,Langston Galloway
2010-11,21.0,LAC,NBA,PF,82.0,82.0,3112.0,11.6,22.9,0.506,0.1,0.4,0.292,11.4,22.5,0.51,7.4,11.5,0.642,4.5,11.9,16.4,5.2,1.0,0.7,3.7,4.2,30.7,111.0,107.0,Blake Griffin
2011-12,22.0,LAC,NBA,PF,66.0,66.0,2392.0,12.6,23.0,0.549,0.0,0.4,0.125,12.6,22.6,0.556,5.5,10.5,0.521,4.9,11.2,16.1,4.7,1.2,1.1,3.4,4.9,30.8,113.0,104.0,Blake Griffin
2012-13,23.0,LAC,NBA,PF,80.0,80.0,2598.0,11.7,21.7,0.538,0.1,0.6,0.179,11.6,21.2,0.548,5.7,8.6,0.66,3.8,9.6,13.4,6.1,2.0,1.0,3.8,4.7,29.2,114.0,102.0,Blake Griffin
2013-14,24.0,LAC,NBA,PF,80.0,80.0,2863.0,12.5,23.7,0.528,0.2,0.8,0.273,12.3,23.0,0.537,8.4,11.8,0.715,3.4,9.9,13.2,5.4,1.6,0.9,3.9,4.6,33.7,114.0,103.0,Blake Griffin
2014-15,25.0,LAC,NBA,PF,67.0,67.0,2356.0,12.3,24.6,0.502,0.2,0.5,0.4,12.1,24.1,0.504,6.7,9.2,0.728,2.7,8.2,10.9,7.6,1.4,0.8,3.3,4.2,31.6,113.0,106.0,Blake Griffin
2015-16,26.0,LAC,NBA,PF,35.0,35.0,1170.0,12.9,25.8,0.499,0.3,0.8,0.333,12.6,25.1,0.504,6.0,8.3,0.727,2.2,10.4,12.6,7.3,1.2,0.7,3.6,4.1,32.1,108.0,103.0,Blake Griffin
2016-17,27.0,LAC,NBA,PF,61.0,61.0,2076.0,11.5,23.4,0.493,0.9,2.7,0.336,10.6,20.7,0.514,7.7,10.1,0.76,2.7,9.3,12.0,7.2,1.4,0.5,3.4,3.8,31.7,115.0,108.0,Blake Griffin
2017-18,28.0,TOT,NBA,PF,58.0,58.0,1970.0,10.9,24.8,0.438,2.8,8.0,0.345,8.1,16.8,0.482,6.5,8.2,0.785,1.8,8.9,10.7,8.3,1.0,0.4,4.1,3.5,31.0,109.0,110.0,Blake Griffin
2017-18,28.0,LAC,NBA,PF,33.0,33.0,1139.0,10.9,24.7,0.441,2.7,8.0,0.342,8.2,16.7,0.488,7.3,9.3,0.785,2.0,9.2,11.2,7.6,1.3,0.4,4.2,3.3,31.8,110.0,110.0,Blake Griffin
2017-18,28.0,DET,NBA,PF,25.0,25.0,831.0,10.9,25.1,0.433,2.8,8.1,0.348,8.0,17.0,0.473,5.2,6.7,0.784,1.6,8.3,10.0,9.3,0.7,0.5,4.0,3.7,29.8,108.0,109.0,Blake Griffin
2018-19,29.0,DET,NBA,PF,75.0,75.0,2622.0,11.6,25.2,0.462,3.6,9.8,0.362,8.1,15.4,0.525,7.8,10.3,0.753,1.9,8.7,10.6,7.6,1.0,0.5,4.8,3.7,34.6,113.0,110.0,Blake Griffin
2019-20,30.0,DET,NBA,PF,18.0,18.0,512.0,8.5,24.0,0.352,2.6,10.7,0.243,5.9,13.4,0.439,7.3,9.4,0.776,1.6,6.4,8.1,5.7,0.7,0.7,3.8,2.6,26.8,97.0,115.0,Blake Griffin
2020-21,31.0,TOT,NBA,PF,46.0,30.0,1186.0,7.1,16.9,0.423,2.9,8.4,0.341,4.3,8.5,0.505,3.6,4.8,0.744,1.4,7.8,9.2,5.7,1.3,0.6,2.5,4.6,20.7,110.0,114.0,Blake Griffin
2020-21,31.0,DET,NBA,PF,20.0,20.0,626.0,6.3,17.4,0.365,3.1,9.7,0.315,3.3,7.7,0.429,3.4,4.9,0.71,0.5,7.6,8.1,6.0,1.1,0.2,2.5,3.3,19.2,101.0,114.0,Blake Griffin
2020-21,31.0,BRK,NBA,PF,26.0,10.0,560.0,8.0,16.3,0.492,2.7,7.0,0.383,5.3,9.3,0.574,3.7,4.7,0.782,2.4,8.0,10.4,5.4,1.6,1.1,2.6,5.9,22.4,121.0,113.0,Blake Griffin
2021-22,32.0,BRK,NBA,C,56.0,24.0,958.0,6.7,15.8,0.425,1.9,7.3,0.262,4.8,8.5,0.565,2.8,3.8,0.724,3.0,8.5,11.5,5.3,1.4,0.7,1.6,4.8,18.2,115.0,113.0,Blake Griffin
2022-23,33.0,BOS,NBA,C,41.0,16.0,569.0,5.4,11.1,0.485,2.0,5.7,0.348,3.4,5.5,0.625,1.8,2.7,0.656,4.0,9.3,13.3,5.2,1.2,0.8,1.9,6.4,14.6,127.0,111.0,Blake Griffin
2019-20,22.0,TOT,NBA,"C,PF",9.0,0.0,133.0,5.4,7.9,0.682,0.0,0.0,0.0,5.4,7.9,0.682,3.2,6.5,0.5,5.1,8.7,13.7,1.4,1.1,2.2,1.8,8.3,14.1,125.0,109.0,Donta Hall
2019-20,22.0,DET,NBA,PF,4.0,0.0,48.0,1.0,4.1,0.25,0.0,0.0,0.0,1.0,4.1,0.25,4.1,6.1,0.667,6.1,9.2,15.4,2.0,1.0,1.0,2.0,9.2,6.1,111.0,112.0,Donta Hall
2019-20,22.0,BRK,NBA,C,5.0,0.0,85.0,7.8,10.0,0.778,0.0,0.0,0.0,7.8,10.0,0.778,2.8,6.7,0.417,4.5,8.4,12.8,1.1,1.1,2.8,1.7,7.8,18.4,131.0,107.0,Donta Hall
2020-21,23.0,ORL,NBA,PF,13.0,0.0,179.0,6.8,9.5,0.714,0.0,0.0,0.0,6.8,9.5,0.714,6.3,9.2,0.676,6.5,10.3,16.9,3.0,1.4,2.7,2.2,4.9,19.8,142.0,110.0,Donta Hall
2012-13,22.0,MIL,NBA,PF,63.0,9.0,827.0,9.9,20.6,0.482,0.0,0.2,0.0,9.9,20.4,0.486,3.4,6.4,0.533,7.1,11.1,18.2,1.9,1.2,2.6,2.9,5.1,23.3,103.0,102.0,John Henson
2013-14,23.0,MIL,NBA,PF,70.0,23.0,1856.0,9.7,18.0,0.538,0.0,0.0,0.0,9.7,18.0,0.539,2.6,5.0,0.514,4.8,9.2,14.0,3.2,1.2,3.3,3.2,5.2,22.0,106.0,108.0,John Henson
2014-15,24.0,MIL,NBA,C,67.0,11.0,1228.0,8.1,14.4,0.566,0.0,0.0,0.0,8.1,14.4,0.566,3.2,5.7,0.569,5.2,7.8,13.0,2.5,1.2,5.6,3.6,6.3,19.5,106.0,98.0,John Henson
2015-16,25.0,MIL,NBA,C,57.0,1.0,960.0,8.7,15.4,0.564,0.0,0.1,0.0,8.7,15.4,0.566,3.7,6.2,0.59,4.6,7.1,11.7,2.9,1.0,5.8,3.4,7.0,21.1,108.0,105.0,John Henson
2016-17,26.0,MIL,NBA,C,58.0,39.0,1123.0,7.2,14.0,0.515,0.0,0.0,0.0,7.2,13.9,0.516,3.3,4.8,0.692,4.2,9.2,13.3,2.6,1.3,3.5,2.4,6.8,17.7,110.0,106.0,John Henson
2017-18,27.0,MIL,NBA,C,76.0,69.0,1970.0,7.3,12.7,0.572,0.0,0.2,0.143,7.2,12.5,0.578,2.3,4.0,0.57,3.8,9.2,13.0,2.9,1.1,2.8,2.1,5.1,16.8,115.0,108.0,John Henson
2018-19,28.0,MIL,NBA,C,14.0,0.0,188.0,7.7,16.6,0.463,2.7,7.7,0.355,4.9,8.9,0.556,1.5,2.5,0.6,4.0,13.6,17.6,3.5,1.7,2.7,3.0,4.0,19.5,108.0,99.0,John Henson
2019-20,29.0,TOT,NBA,C,40.0,8.0,600.0,7.7,13.9,0.556,0.7,2.9,0.222,7.1,11.0,0.644,1.9,3.7,0.5,3.7,9.4,13.2,4.4,2.0,3.4,2.9,6.3,18.0,112.0,109.0,John Henson
